,count,mean,std,min,25%,50%,75%,max
ACTUAL_DELIVERY_MINUTES - ESTIMATED_DELIVERY_MINUTES,18706.0,-1.2010584839089062,8.979833710853448,-41.0,-7.0,-2.0,5.0,34.0
ITEM_COUNT,18706.0,2.688228375922164,1.8864554419960797,1.0,1.0,2.0,4.0,11.0
USER_LAT,18706.0,60.17523447022346,0.0126741018716046,60.153,60.163,60.175,60.186,60.201
USER_LONG,18706.0,24.94124414626323,0.01653962376995095,24.909,24.926,24.943,24.954,24.98
VENUE_LAT,18706.0,60.17564316262162,0.011509072953598373,60.149,60.167,60.17,60.186,60.219
VENUE_LONG,18706.0,24.94121351438041,0.01448163254003404,24.878,24.93,24.941,24.95,25.042
ESTIMATED_DELIVERY_MINUTES,18706.0,33.809312520047044,7.340283034452817,10.0,28.0,33.0,38.0,82.0
ACTUAL_DELIVERY_MINUTES,18706.0,32.608254036138135,10.018878959721992,6.0,25.0,32.0,40.0,58.0
CLOUD_COVERAGE,18429.0,11.99685278636931,23.81260477936894,0.0,0.0,0.0,25.0,100.0
TEMPERATURE,18429.0,16.973536274350213,3.411900320415455,6.1,14.4,16.7,18.9,26.7
WIND_SPEED,18429.0,3.790990775305226,1.4560165128051978,0.0774191,2.69619,3.63197,4.69253,9.8573
PRECIPITATION,18706.0,0.3327556971025339,1.1292342842318681,0.0,0.0,0.0,0.0,6.31579
